Ride Name,Lat&Long,Lat,Long,,
Alien Swirling Saucers,,,,,
Astro Orbiter,,,,,
Avatar Flight of Passage,,,,,ALLISON
Back to the Future,,,,,MATT
Big Thunder Mountain Railroad,,,,,STEVEN
Buzz Lightyears Space Ranger Spin,,,,,ELLIS
Camp Jurassic,,,,,
Caro-Seuss-el,,,,,
Carousel of Progress,,,,,
Castaway Creek,,,,,
Chair Lift,,,,,
Cross County Creek,,,,,
Crush n' Gusher,,,,,
Despicable Me Minion Mayhem,,,,,
Dinosaur,,,,,
Disaster,,,,,
Downhill Double Dipper,,,,,
Dr Doom's Fearfall,,,,,
Dragon Challenge,,,,,
Dudley Do Rights Ripsaw Falls,,,,,
Dumbo,,,,,
E.T Adventure,,,,,
Ellen's Energy Adventure,,,,,
Expedition Everest,,,,,
Fast & Furious - Supercharged,,,,,
Fievel's Playground,,,,,
Flight of the Hippogriff,,,,,
Frozen Ever After,,,,,
Gran Fiesta Tour Attraction,,,,,
Great Movie Ride,,,,,
Hagrid's Magical Creatures Motorbike Adventure,,,,,
Halloween Horror Nights,,,,,
Harry Potter and the Escape from Gringotts,,,,,
Harry Potter and the Forbidden Journey,,,,,
Haunted Mansion,,,,,
Hollywood Rip Ride Rocket,,,,,
Honey I Shrunk The Kids,,,,,
Humunga Kowabunga,,,,,
If I Ran the Zoo,,,,,
It's A Small World,,,,,
Journey info Imagination with Figment,,,,,
Jungle Cruise,,,,,
Jurassic Park River Adventure,,,,,
Jurassic World VelociCoaster,,,,,
Kala Serpentine Body Slide,,,,,
Kali River Rapids,,,,,
Kang & Kodos Twirl n' Hurl,,,,,
Kilimanjaro Safaris Expedition,,,,,
Ko'okiri Body Plunge,,,,,
Kopiko Wai Winding River,,,,,
Liberty Riverboat,,,,,
Living with the Land,,,,,
Mad Tea Party,,,,,
Maelstrom,,,,,
Mayday Falls,,,,,
Meltaway Bay,,,,,
Men In Black,,,,,
Mickey & Minnie's Runaway Railway,,,,,
Millennium Falcon: Smugglers Run,,,,,
Miss Adventure Falls,,,,,
Mission: Space,,,,,
Na'vi River Journey,,,,,
Oh! No! Drop Slide,,,,,
Peter Pan's Flight,,,,,
Pirates of the Caribbean,,,,,
Poseidon's Fury,,,,,
Primeval Whirl,,,,,
Prince Charming Regal Carousel,,,,,
Puihi Raft Ride,,,,,
Punga Racers,,,,,
Remy' s Ratatouille Adventure,,,,,
Revenge of the Mummy,,,,,
Rock 'n' Roller Coaster Starring Aerosmith,,,,,
Runamukka Reef,,,,,
Seven Dwarfs Mine Train,,,,,
Slinky Dog Dash,,,,,
Slush Gusher,,,,,
Snow White's Scary Adventures,,,,,
Soarin' Around the World,,,,,
Space Mountain,,,,,
Spaceship Earth,,,,,
Splash Mountain,,,,,
Star Tours: The Adventure Continues,,,,,
Star Wars: Rise of the Resistance,,,,,
Storm Force Acceleration,,,,,
Storm Slide-Rudder Buster,,,,,
Studio Backlot Tour,,,,,
Summit Plummet,,,,,
Surf Pool,,,,,
Tai Nui Serpentine Body Slide,,,,,
Teamboat Springs,,,,,
Te'awa The Fearless River,,,,,
Terminator 2: 3D,,,,,
Test Track,,,,,
The Amazing Adventures of Spiderman,,,,,
The Barnstormer,,,,,
The Cat In The Hat,,,,,
The Incredible Hulk Coaster,,,,,
The Liberty Belle,,,,,
The Magic Carpets of Aladdin,,,,,
The Many Adventures of Winnie the Pooh,,,,,
The Seas with Nemo & Friends,,,,,
The Simpsons Ride,,,,,
The Twilight Zone Tower of Terror,,,,,
Toboggan Racers,,,,,
Tomorrowland Speedway,,,,,
Tomorrowland Transit Authority People Mover,,,,,
Toy Story Midway Mania!,,,,,
Transformers: The Ride 3D,,,,,
Under the Sea - Journey of the Little Mermaid,,,,,
Walt Disney World Railroad,,,,,
Wildlife Express,,,,,
